model,time,"(1,1)","(1,2)","(2,2)","(1,inf)","(2,inf)",dim
Naive Counting,0.652,,,,,,
DotHash,0.403,0.196,4.575,27.039,5.403,116.337,1024.0
DotHash++,0.436,0.193,4.547,27.57,5.391,117.617,1024.0
DotHash+Cluster200,12.384,0.193,4.672,27.153,5.556,115.993,1024.0
DotHash+Cluster400,20.373,0.193,4.615,26.893,5.458,115.683,1024.0
DotHash+Cluster800,35.015,0.198,4.585,27.72,5.464,119.742,1024.0
DotHash,0.489,0.132,3.056,18.277,3.633,78.683,1536.0
DotHash++,0.521,0.129,3.021,18.159,3.601,78.809,1536.0
DotHash+Cluster200,12.395,0.128,2.989,17.566,3.57,75.021,1536.0
DotHash+Cluster400,20.441,0.131,3.047,17.978,3.619,77.656,1536.0
DotHash+Cluster800,35.16,0.131,3.043,18.246,3.644,78.44,1536.0
DotHash,0.53,0.111,2.609,15.215,3.093,66.02,1792.0
DotHash++,0.568,0.111,2.591,15.361,3.077,66.796,1792.0
DotHash+Cluster200,12.443,0.112,2.651,16.136,3.136,70.118,1792.0
DotHash+Cluster400,20.523,0.111,2.594,15.305,3.051,66.536,1792.0
DotHash+Cluster800,35.354,0.111,2.612,15.445,3.122,67.268,1792.0
